imagen_path,departamento,fecha_procesamiento,AP,APB SÚMATE,CODIGO MESA,ELECTORES HABILITADOS,FP,LIBRE,LYP ADN,MAS-IPSP,MESA,MORENA,PAPELETAS EN ÁNFORA,PAPELETAS NO UTILIZADAS,PDC,UNIDAD,VOTOS BLANCOS,VOTOS NULOS,VOTOS VÁLIDOS
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_5_101194.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP 0.6,APB SÚMATE 005,5,3,FP 006,LIBRE 0.6,LYP ADN APB SOMATE,MAS-IPSP 003,5,MORENA 0930,409,241,PDC 027,UNIDAD 006,2,43,69
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_3_101174.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP 010,APB SÚMATE 09 30,,3,FP 004,LIBRE 0,LYP ADN 0930,MAS-IPSP 005,930,MORENA 210,210,210,PDC 019,UNIDAD 005,5,42,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_4_101184.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP 018,APB SÚMATE 004,10184,3,FP 004,LIBRE 0 1,LYP ADN 000,MAS-IPSP 00 2,4,MORENA 0810,44,203,PDC 025,UNIDAD 0.9,6,44,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_6_101204.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP 0.13,APB SÚMATE 0850,850,3,FP 002,LIBRE 0 1,LYP ADN 0850,MAS-IPSP 004,6,MORENA 17 20,45,46,PDC 0.28,UNIDAD 003,4,46,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_7_101214.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP 021,APB SÚMATE 0845,101214,3,FP 005,LIBRE 0.21,LYP ADN 00,MAS-IPSP 003,7,MORENA 7,120,200,PDC 024,UNIDAD 003,3,43,74
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_6_100244.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP 020,APB SÚMATE 0.8,6,,FP 0.9,LIBRE 0.8,LYP ADN MESA: 6,MAS-IPSP 0.9,6,MORENA 0.2,80,20,PDC 00,UNIDAD 0.8,44,44,36
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_7_100254.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP 0 2,APB SÚMATE 007,100254,3,FP 0 0 4,LIBRE 0.27,LYP ADN AP,MAS-IPSP 0 0,7,MORENA 7,100,220,PDC 018,UNIDAD 003,1,936,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_9_100274.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP 018,APB SÚMATE MOSA: 9,9,3,FP 0.26,LIBRE 005,LYP ADN AP,MAS-IPSP 080,9,MORENA 17,107,278,PDC 024,UNIDAD 003,2,35,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_1_100194.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP APB SOMATE,APB SÚMATE MOS-ISP,,3,FP 004,LIBRE 005,LYP ADN APB SOMATE,MAS-IPSP 002,1,MORENA 08 18,38,217,PDC 0 28,UNIDAD 004,1,40,62
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_8_100264.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP 018,APB SÚMATE 0.18,8,3,FP 0 8,LIBRE 0.18,LYP ADN 0 8,MAS-IPSP 0 8 00,8,MORENA 0.18,101,8,PDC 0.18,UNIDAD 0.13,3,32,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_2_100204.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP 020,APB SÚMATE 003,82,3,FP 002,LIBRE 003,LYP ADN APB SUMATE,MAS-IPSP 001,827,MORENA 188,188,188,PDC 030,UNIDAD 00 7,4,57,69
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_5_100234.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP APB SOMATE,APB SÚMATE 006,100234,3,FP 0.25,LIBRE 0.12,LYP ADN AP,MAS-IPSP 0 0 4,5,MORENA AP,132,45,PDC 0.21,UNIDAD 003,11111111111111111111111111320,45,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_4_100224.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP 01 4,APB SÚMATE 0.8,4,3,FP 005,LIBRE 0.8,LYP ADN APB SUMATE,MAS-IPSP 0 0,4,MORENA 1 9 6,796,196,PDC 02 9,UNIDAD 008,8,43,73
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 22 De 11 Hipólito Bouchard/mesa_3_100214.jpg,Escuela N° 22 De 11 Hipólito Bouchard,,AP 0 2,APB SÚMATE EMAS: 3,,3,FP 0 0 4,LIBRE 0 15,LYP ADN AP,MAS-IPSP 0 0 3,3,MORENA 205,205,205,PDC 002,UNIDAD 004,2,37,7
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Centro Educativo Ns  N° 30  De 8 De Nivel Secundario/mesa_5_100744.jpg,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,,AP 0.16,APB SÚMATE MOSA: 5,5,3,FP 0.2,LIBRE 0.13,LYP ADN MESA: 5,MAS-IPSP 080,5,MORENA 0.95,28,95,PDC 020,UNIDAD 0.2,28,28,28
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Centro Educativo Ns  N° 30  De 8 De Nivel Secundario/mesa_4_100734.jpg,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,,AP 0.13,APB SÚMATE 08.00,4,3,FP 0.03,LIBRE 0.13,LYP ADN 002,MAS-IPSP 0 8 00,4,MORENA 08.00,109,211,PDC 0.18,UNIDAD 00,32,37,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Centro Educativo Ns  N° 30  De 8 De Nivel Secundario/mesa_6_100754.jpg,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,,AP 004,APB SÚMATE 011,6,745,FP 002,LIBRE 0 1 1 7 0,LYP ADN MESA: 6,MAS-IPSP 005,6,MORENA 0.88,88,187,PDC 014,UNIDAD 005,5,31,31
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Centro Educativo Ns  N° 30  De 8 De Nivel Secundario/mesa_2_100714.jpg,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,,AP 075,APB SÚMATE 08.00,800,3,FP 08.00,LIBRE 08.00,LYP ADN AP,MAS-IPSP MORENA,800,MORENA 0.96,96,96,PDC 0.90,UNIDAD 00,92,39,57
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Centro Educativo Ns  N° 30  De 8 De Nivel Secundario/mesa_3_100724.jpg,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,,AP 0.15,APB SÚMATE 0.15,9,3,FP 000,LIBRE 0 1 3,LYP ADN APB SUMATE,MAS-IPSP 003,3,MORENA 0.15,95,218,PDC 017,UNIDAD 00 7,6,36,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Centro Educativo Ns  N° 30  De 8 De Nivel Secundario/mesa_1_100704.jpg,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,,AP OEP,APB SÚMATE 0.29,1,,FP 003,LIBRE 019,LYP ADN 090,MAS-IPSP 005,1,MORENA 019,7,209,PDC 017,UNIDAD 003,,27,27
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_3_101434.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 0.8,APB SÚMATE 0.8,3,3,FP 0.8,LIBRE OEP,LYP ADN 0103,MAS-IPSP 0.8,3,MORENA 088,83,83,PDC 00,UNIDAD 0.83,83,8,88
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_1_101414.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 016,APB SÚMATE 01,1,3,FP 000,LIBRE 012,LYP ADN 001,MAS-IPSP 002,1,MORENA 08 30,46,830,PDC 027,UNIDAD 007,2,46,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_4_101444.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 076,APB SÚMATE 09 00,4,3,FP 003,LIBRE 0.79,LYP ADN 003,MAS-IPSP 003,4,MORENA 777,95,777,PDC 020,UNIDAD 0.9,2,33,82
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_6_101464.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 016,APB SÚMATE 006,6,3,FP A3,LIBRE 0.25,LYP ADN 0.26,MAS-IPSP 0.9,6,MORENA 0.25,27,9,PDC 0.27,UNIDAD 0.25,2,97,90
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_5_101454.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 0.26,APB SÚMATE 077,5,3,FP 0.26,LIBRE 0.75,LYP ADN 0.22,MAS-IPSP 002,5,MORENA 737,27,25,PDC 0.26,UNIDAD 008,7,26,96
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_7_101474.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 0 2 6,APB SÚMATE 007,7,3,FP 000,LIBRE 0.76,LYP ADN APS COMMITTEE,MAS-IPSP 001,7,MORENA 794,796,794,PDC 015,UNIDAD 00 6,1,53,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_8_101484.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 020,APB SÚMATE MOSA: 8,8,3,FP 005,LIBRE 026,LYP ADN 001,MAS-IPSP 005,8,MORENA 788,788,788,PDC 0.23,UNIDAD 006,1,38,93
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_2_101424.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 0.20,APB SÚMATE 08.59,24,3,FP 08.59,LIBRE 014,LYP ADN 0.20,MAS-IPSP 002,2,MORENA 0.24,24,29,PDC 039,UNIDAD 009,9,9,96
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 3 De 20 Republica Francesa/mesa_9_101494.jpg,Escuela N° 3 De 20 Republica Francesa,,AP 0 8,APB SÚMATE 0835,9,3,FP 002,LIBRE 005,LYP ADN AP,MAS-IPSP 000,9,MORENA 0 4,4,8,PDC 004,UNIDAD 002,1,13,27
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°5 Cnl. De Marina Tomas Espora/mesa_1_103604.jpg,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,,AP 016,APB SÚMATE MOS-IPSP,830,3,FP 0 0 2,LIBRE 0.25,LYP ADN AP,MAS-IPSP 00 2,830,MORENA 0.3,84,236,PDC 0 1,UNIDAD 0 06,38,38,39
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°5 Cnl. De Marina Tomas Espora/mesa_3_103624.jpg,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,,AP 012,APB SÚMATE 002,,3,FP 003,LIBRE 005,LYP ADN APB SUMATE,MAS-IPSP 00 2,915,MORENA 0.86,86,234,PDC 071,UNIDAD 005,6,38,42
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°5 Cnl. De Marina Tomas Espora/mesa_4_103634.jpg,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,,AP 0 1,APB SÚMATE 002,4,3,FP 0 0 9,LIBRE 005,LYP ADN APB SUMATE,MAS-IPSP 0 0 6,4,MORENA 0 8 6,86,234,PDC 009,UNIDAD 00 2,3,45,38
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°5 Cnl. De Marina Tomas Espora/mesa_5_103644.jpg,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,,AP 0 12,APB SÚMATE MOSA: 5,5,3,FP 005,LIBRE 0 1 2,LYP ADN APB SUMATE,MAS-IPSP 0 0 5,5,MORENA 55,98,222,PDC 0 2,UNIDAD 004,5,41,52
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°5 Cnl. De Marina Tomas Espora/mesa_6_103654.jpg,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,,AP 0 1,APB SÚMATE 004,9,3,FP 0.0,LIBRE 0.25,LYP ADN 002,MAS-IPSP 00 1,6,MORENA 0.8,86,234,PDC 0 1,UNIDAD 0 1,8,32,46
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°5 Cnl. De Marina Tomas Espora/mesa_7_103664.jpg,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,,AP 0 1,APB SÚMATE 0.2,,3,FP 001,LIBRE 00 2,LYP ADN AP,MAS-IPSP 003,7,MORENA 0 1,52,52,PDC 008,UNIDAD 001,3,27,28
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°5 Cnl. De Marina Tomas Espora/mesa_2_103614.jpg,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,,AP 010,APB SÚMATE 0 1,,3,FP 0 0,LIBRE 0.08,LYP ADN AP,MAS-IPSP 0 0,9,MORENA 0 1,85,235,PDC 0 1 0,UNIDAD 007,9,35,47
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_6_103324.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 012,APB SÚMATE 0915,6,3,FP 0332-4,LIBRE 0,LYP ADN 00,MAS-IPSP 001,6,MORENA 0915,19,10,PDC 019,UNIDAD 002,5,48,51
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_13_103194.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 08.00,APB SÚMATE 003,13,10,FP 003,LIBRE 08.00,LYP ADN 003,MAS-IPSP 08.00,13,MORENA 796,7,203,PDC 024,UNIDAD 006,2,59,59
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_2_103284.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 017,APB SÚMATE 017,2,7,FP A3,LIBRE OEP,LYP ADN 003,MAS-IPSP 0.3,2,MORENA 017,27,0,"PDC APRIL 2004, 10",UNIDAD MESA 2,3,54,51
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_11_103254.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 020,APB SÚMATE 0 8,103254,3,FP 004,LIBRE 020,LYP ADN 00 1,MAS-IPSP 003,11,MORENA 020,17,208,PDC 015,UNIDAD 004,1,54,57
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_1_103274.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 072,APB SÚMATE 072,,3,FP 001,LIBRE 001,LYP ADN AP,MAS-IPSP 003,1,MORENA 704,25,2,PDC 0 12,UNIDAD 003,7,57,40
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_14_103204.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 00,APB SÚMATE 09 10,14,3,FP 000,LIBRE 09 10,LYP ADN APB SUMATE,MAS-IPSP 000,14,MORENA 09.10,32,32,PDC 005,UNIDAD 000,0,11,0
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_4_103304.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 0.19,APB SÚMATE 0.19,4,3,FP A3,LIBRE OEP,LYP ADN 001,MAS-IPSP 002,4,MORENA 139504,45,45,PDC 021,UNIDAD 003,7,40,56
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_5_103314.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 025,APB SÚMATE MASSA 5,5,3,FP 0,LIBRE 025,LYP ADN 025,MAS-IPSP 003,5,MORENA 003,28,28,PDC 018,UNIDAD 003,6,48,115
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_10_103244.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP A3,APB SÚMATE EMASA,0,3,FP A3,LIBRE OEP,LYP ADN 005,MAS-IPSP 0.14,10,MORENA 014,14,24,PDC 0,UNIDAD 0,14,14,14
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_12_103264.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP A3,APB SÚMATE MESA,12,3,FP A3,LIBRE MESA,LYP ADN OEP,MAS-IPSP 0.99,12,MORENA A3,49,49,PDC 0.49,UNIDAD MESA,1038,7,49
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_8_103224.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 0,APB SÚMATE 004,8,3,FP 002,LIBRE 004,LYP ADN 0845,MAS-IPSP 003,8,MORENA 004,4,45,PDC 00 2,UNIDAD 005,,3,3
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_7_103214.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 500,APB SÚMATE WWW.GOV,220,,FP WWW.GOV,LIBRE 050,LYP ADN TVLZEOL,MAS-IPSP WWW.GOV,860,MORENA 7B9B2,500,0,PDC WWW.GOV,UNIDAD 00,,7,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_3_103294.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 017,APB SÚMATE 004,3,3,FP 003,LIBRE 007,LYP ADN APB SOMATE,MAS-IPSP 004,3,MORENA 7030,7030,7030,PDC 009,UNIDAD 004,5,99,50
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)/mesa_9_103234.jpg,Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33),,AP 006,APB SÚMATE 007,9,3,FP 900,LIBRE 00 2,LYP ADN 007,MAS-IPSP 001,9,MORENA 796,125,195,PDC 025,UNIDAD 004,64,67,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_8_101574.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP APB SOMATE,APB SÚMATE 09 20,8,3,FP 0.05,LIBRE 006,LYP ADN APB SOMATE,MAS-IPSP 004,8,MORENA 0920,36,920,PDC 023,UNIDAD 003,3,46,38
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_6_101554.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 60,APB SÚMATE 09 30,6,3,FP 4,LIBRE 09 30,LYP ADN APS COMATE,MAS-IPSP 2,6,MORENA 7,730,486,PDC 40,UNIDAD 5,0,51,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_10_101594.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 0 5 6,APB SÚMATE 0930,10,3,FP 0930,LIBRE 0 1,LYP ADN 0 5 6,MAS-IPSP 000,10,MORENA 0930,83,173,PDC 008,UNIDAD 000,0,17,17
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_5_101544.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 0 22,APB SÚMATE 004,,3,FP 000,LIBRE 0.8,LYP ADN 001,MAS-IPSP 004,5,MORENA 202,36,201,PDC 034,UNIDAD 005,6,36,77
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_9_101584.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 0.21,APB SÚMATE 0.21,9,3,FP 00,LIBRE OEP,LYP ADN 001,MAS-IPSP 0.2,9,MORENA 7,1720,92,PDC 028,UNIDAD 011,1,42,92
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_3_101524.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 028,APB SÚMATE 00 7,101524,3,FP 002,LIBRE 028,LYP ADN 00,MAS-IPSP 001,3,MORENA 028,800,175,PDC 025,UNIDAD 008,3,58,84
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_1_101504.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 0 23,APB SÚMATE 01,101504,3,FP 004,LIBRE 0.9,LYP ADN 00,MAS-IPSP 0 0 4,1,MORENA 0.23,127,193,PDC 023,UNIDAD 005,4,45,78
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_7_101564.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP MASSA 7,APB SÚMATE 080,7,3,FP 005,LIBRE 007,LYP ADN 080,MAS-IPSP 003,7,MORENA 7 3 8,800,738,PDC 026,UNIDAD 004,3,55,80
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_4_101534.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 020,APB SÚMATE 0.20,,3,FP 004,LIBRE 0.20,LYP ADN AP,MAS-IPSP 001,4,MORENA 0.20,4,498,PDC 030,UNIDAD 0.10,3,39,80
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As/mesa_2_101514.jpg,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,,AP 0.22,APB SÚMATE 006,101514,3,FP 005,LIBRE 0.22,LYP ADN 001,MAS-IPSP 003,910,MORENA 7 5,7675,58,PDC 036,UNIDAD 006,3,58,86
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc Primaria Nro 52 Gral. Bartolome Mitre./mesa_4_103444.jpg,Esc Primaria Nro 52 Gral. Bartolome Mitre.,,AP 017,APB SÚMATE 005,4,3,FP 002,LIBRE 00 2,LYP ADN 001,MAS-IPSP 005,4,MORENA 1,18,1245,PDC 023,UNIDAD 001,4,61,59
